req_id,section,section_title,source_file,page,requirement,compliance_code,response_notes,exception_or_alternate,mapped,capability_id,capability_alias,capability_name,confidence,match_method,msi_products,support_level,owner,due_date,status,risk,comments
4.6.6,4.6.6,Antenna Support Structure Suitability and Design,erie-trunked-radio-system-2026-018.pdf,21,"During the Design Review phase, the Contractor shall be responsible for assessing the suitability of each",C,,,True,PSERS.INFRA.LIFE.PROJECT_MGMT,LMR.LIFE.PROJECT_MGMT,Project management,0.92,seed,Implementation & Integration Services:native; Implementation & Integration Services:partner; Implementation & Integration Services:native,native,,,Draft,,
4.6.6-02,4.6.6,Antenna Support Structure Suitability and Design,erie-trunked-radio-system-2026-018.pdf,21,The Contractor shall provide the County with a list of all antennas and associated equipment to be,C,,,True,PSERS.INFRA.SITE.ANTENNA_SYSTEM,LMR.SITE.ANTENNA_SYSTEM,Antenna system,0.92,seed,CommandCentral Suite:native,native,,,Draft,,
4.6.6-03,4.6.6,Antenna Support Structure Suitability and Design,erie-trunked-radio-system-2026-018.pdf,21,The Contractor shall make efficient use of the available tower space for antenna implementation.,C,,,True,PSERS.INFRA.SITE.ANTENNA_SYSTEM,LMR.SITE.ANTENNA_SYSTEM,Antenna system,0.92,seed,CommandCentral Suite:native,native,,,Draft,,
4.6.6-04,4.6.6,Antenna Support Structure Suitability and Design,erie-trunked-radio-system-2026-018.pdf,21,"Where space on existing towers is not available, Contractor shall implement a design that reuses",C,,,True,PSERS.INFRA.SITE.ANTENNA_SYSTEM,LMR.SITE.ANTENNA_SYSTEM,Antenna system,0.92,seed,CommandCentral Suite:native,native,,,Draft,,
4.6.7,4.6.7,RF Prevention Interference Certification,erie-trunked-radio-system-2026-018.pdf,21,"Contractor shall investigate the presence of any interference, through noise measurements or other",C,,,True,PSERS.INFRA.SITE.ANTENNA_SYSTEM,LMR.SITE.ANTENNA_SYSTEM,Antenna system,0.92,seed,CommandCentral Suite:native,native,,,Draft,,
4.6.7-02,4.6.7,RF Prevention Interference Certification,erie-trunked-radio-system-2026-018.pdf,21,The Contractor shall perform RF measurements of the noise floor and locally generated signals prior to,C,,,True,PSERS.INFRA.SITE.ANTENNA_SYSTEM,LMR.SITE.ANTENNA_SYSTEM,Antenna system,0.92,seed,CommandCentral Suite:native,native,,,Draft,,
4.6.7-03,4.6.7,RF Prevention Interference Certification,erie-trunked-radio-system-2026-018.pdf,21,Contractor shall design and incorporate the necessary RF filtering and shielding to contain,C,,,True,PSERS.INFRA.SITE.ANTENNA_SYSTEM,LMR.SITE.ANTENNA_SYSTEM,Antenna system,0.92,seed,CommandCentral Suite:native,native,,,Draft,,
4.7,4.7,Installation Planning and Site Preparation,erie-trunked-radio-system-2026-018.pdf,21,"Contractor shall provide all required documentation including, but not limited to, site preparation",C,,,True,PSERS.INFRA.LIFE.DOCUMENTATION,LMR.LIFE.DOCUMENTATION,As-built documentation,0.869,l2_overlap,Implementation & Integration Services:native,native,,,Draft,,
4.7-02,4.7,Installation Planning and Site Preparation,erie-trunked-radio-system-2026-018.pdf,21,The Contractor shall prepare a site-by-site work and installation plan detailing all necessary work and,C,,,True,PSERS.INFRA.LIFE.PROJECT_MGMT,LMR.LIFE.PROJECT_MGMT,Project management,0.92,seed,Implementation & Integration Services:native,native,,,Draft,,
4.7-03,4.7,Installation Planning and Site Preparation,erie-trunked-radio-system-2026-018.pdf,21,The Contractor shall prepare a site-by-site work and installation plan detailing all necessary work and the methods that will be used to accomplish the work.,C,,,True,PSERS.INFRA.LIFE.PROJECT_MGMT,LMR.LIFE.PROJECT_MGMT,Project management,0.92,seed,Implementation & Integration Services:native,native,,,Draft,,
